Area_sqft,Bedrooms,Bathrooms,Age_years,Parking,Location_Score,Price
2381,2,3,14,3,7.9,13293500
2413,3,1,25,1,8.7,12675500
985,2,5,12,3,7.4,8907500
3939,1,3,12,2,7.9,18146500
1137,2,4,17,0,7.0,8129500
3767,5,5,4,0,9.9,20944500
2198,6,5,15,0,5.3,13563000
2714,5,3,2,3,8.6,16839000
3192,5,4,9,3,8.7,18502000
3392,6,3,10,1,9.2,19152000
2028,1,2,13,0,6.4,10108000
2524,2,5,0,1,6.3,14054000
1812,2,4,13,3,8.0,11692000
3303,3,5,17,1,5.1,15950500
1856,1,3,3,2,5.2,10226000
2888,4,3,20,0,5.4,14168000
1100,2,2,3,0,6.8,8020000
3542,1,4,7,2,9.3,17867000
3329,1,5,1,3,9.1,17841500
2390,3,3,18,3,8.5,13865000
2017,5,4,21,1,8.6,13349500
2910,6,5,4,1,8.5,18085000
1780,1,4,25,2,6.6,9720000
3538,3,2,10,0,8.9,17543000
2329,4,5,18,2,5.1,13191500
1510,6,1,1,0,5.6,10775000
963,3,2,5,2,8.5,9020500
1188,3,1,20,3,5.2,7638000
913,4,4,11,2,6.6,8885500
2612,4,4,11,0,5.5,13992000
2716,6,2,21,1,9.8,16176000
1985,4,4,20,3,6.2,12227500
1518,3,1,9,3,5.9,9623000
3190,4,1,20,0,8.9,16025000
960,2,5,25,3,8.6,8650000
1724,6,5,12,1,5.9,12494000
1291,2,2,23,1,7.3,8088500
2070,5,1,2,0,6.2,12425000
1268,1,1,24,0,8.7,7518000
3795,4,2,4,2,9.5,19882500
3011,6,4,4,2,7.3,17858500
3859,4,2,2,1,5.6,18446500
2896,5,5,2,2,6.7,17116000
1865,5,1,0,3,8.5,13327500
2342,5,2,0,3,9.8,15817000
1237,2,3,23,1,6.4,7839500
1451,6,1,7,3,5.2,10708500
2592,1,1,0,0,8.5,13272000
1755,2,4,5,2,6.7,11172500
1735,5,1,24,0,7.1,10512500
775,3,1,0,3,8.5,8512500
635,6,4,21,3,8.9,9532500
1757,4,1,0,2,8.4,12209500
3047,5,4,7,3,5.4,16774500
1764,3,1,15,2,9.6,11464000
3226,5,1,22,2,8.9,16951000
3664,2,2,7,1,9.6,18114000
4000,5,5,11,3,5.6,20290000
2401,3,3,3,1,7.7,13933500
2051,3,5,16,1,9.8,13498500
3068,3,2,22,3,9.6,16178000
2888,6,4,5,0,7.0,16858000
2559,6,1,24,2,8.6,14896500
1624,3,3,6,2,8.2,11464000
1187,5,1,20,2,5.5,8554500
2897,1,1,9,3,8.9,14649500
3963,1,1,24,1,5.0,15670500
2210,5,2,13,3,5.6,13025000
3900,6,4,23,3,6.0,19700000
1778,5,5,4,0,9.7,13903000
2004,6,1,16,1,5.6,11954000
3532,1,3,10,2,5.3,15782000
1143,1,3,8,3,5.1,7640500
1334,4,5,20,2,6.6,10209000
3249,2,2,23,2,5.3,14341500
2344,5,3,2,1,7.1,14544000
1737,1,5,3,3,7.6,11569500
1160,1,2,20,1,6.3,6880000
3510,6,4,25,1,9.2,19115000
3234,2,4,8,3,5.4,15879000
3199,6,2,9,2,6.8,17466500
672,6,3,0,2,9.4,10412000
1115,6,4,6,0,9.8,11722500
2760,6,2,4,3,5.6,15900000
629,1,3,19,2,7.5,6051500
1110,2,3,3,0,9.7,9515000
3484,5,4,22,3,6.7,18074000
2988,3,3,1,3,8.3,16728000
3060,6,1,20,2,5.1,15450000
3242,1,4,6,2,5.8,15467000
1765,5,3,7,2,9.1,13267500
649,5,3,2,3,9.0,9771500
2304,2,3,9,0,8.5,12914000
3298,3,1,24,1,9.4,16103000
2636,5,1,10,1,6.2,14206000
656,5,5,14,3,5.8,8516000
3951,2,5,23,0,7.9,18338500
2969,2,2,20,3,5.1,13631500
1185,2,5,17,2,8.9,9757500
1272,1,4,20,0,5.1,7192000
3651,2,5,7,1,8.5,18528500
3580,2,3,18,3,6.0,16530000
748,3,5,24,3,9.2,8698000
1423,1,3,5,0,6.1,8570500
1911,5,4,1,3,9.4,14698500
3499,3,3,14,3,9.6,18386500
2823,2,3,12,3,6.4,14340500
999,3,5,12,2,8.3,9616500
2664,6,3,19,2,6.7,15354000
3005,2,2,9,3,9.1,15907500
1422,6,3,12,0,8.4,11637000
729,4,2,15,2,5.0,6801500
3497,6,1,9,3,8.0,18889500
1206,3,1,2,3,9.7,10401000
3006,4,4,19,0,7.4,15731000
1860,3,3,1,2,8.5,12660000
2753,3,4,14,1,8.3,15155500
3414,5,1,5,2,9.5,18699000
1737,4,4,6,3,9.1,13219500
3211,1,3,19,2,7.5,15088500
1236,1,1,7,3,5.8,7696000
1679,1,1,22,3,5.3,8296500
1502,3,5,13,2,5.9,10367000
3166,4,4,18,3,5.6,16221000
1419,2,4,4,3,7.0,10366500
3242,1,1,25,2,9.8,15217000
2748,6,5,14,1,7.6,16658000
2278,5,3,14,2,6.8,13793000
2853,5,4,1,3,8.2,17515500
1674,1,5,5,2,9.0,11609000
3929,2,3,19,1,7.9,18061500
1978,4,3,20,3,6.7,12103000
3754,3,3,5,3,5.0,17889000
2998,6,5,1,0,6.5,17543000
3718,1,1,22,0,6.5,15313000
1679,5,4,14,2,9.0,12876500
3831,1,1,3,3,6.6,17298500
2128,2,2,17,3,8.5,12198000
3049,6,2,4,3,9.9,18631500
2592,1,2,7,0,9.5,13622000
2539,5,4,17,2,9.6,15976500
963,2,1,11,2,6.7,7200500
1566,5,5,21,0,7.0,11231000
2781,6,5,11,0,7.5,16683500
1555,6,5,21,1,8.3,12412500
1396,1,4,23,3,7.1,8876000
2071,3,2,14,1,9.3,12568500
2626,3,3,6,3,7.4,14851000
2579,5,2,15,1,6.9,14336500
3281,1,3,17,3,7.3,15553500
2738,1,3,9,2,5.4,13093000
2044,3,1,8,2,6.0,11354000
786,5,2,14,1,5.0,7351000
2273,3,1,2,3,8.2,13535500
2081,4,4,2,1,6.6,13223500
3828,1,3,14,2,6.0,16898000
2026,2,4,20,2,6.3,11211000
3977,6,5,4,1,9.2,22099500
1635,1,2,24,3,6.0,8622500
918,1,5,24,2,9.1,8053000
2913,1,5,7,1,8.6,15485500
1051,1,3,16,0,5.9,6638500
3824,4,1,20,3,9.9,19244000
603,1,1,14,0,5.8,4530500
1078,6,4,2,1,6.9,10833000
3591,3,1,15,0,9.2,17298500
863,5,3,10,2,9.9,10280500
2463,2,1,6,3,8.4,13580500
2121,6,3,8,1,9.9,15083500
3873,6,3,22,3,5.6,19195500
2285,3,1,24,3,5.3,11317500
895,6,5,17,2,8.7,10662500
1950,3,5,9,3,8.1,13215000
2835,4,3,6,0,6.1,14962500
1311,2,3,15,0,5.3,7858500
1135,1,3,12,0,8.8,8292500
1972,3,4,6,2,6.8,12422000
2172,1,4,24,2,9.6,12342000
3313,3,4,11,0,5.2,15825500
1667,4,3,0,0,5.3,10854500
3240,6,1,4,1,6.9,17400000
1911,5,1,19,0,5.3,10658500
1616,2,3,22,3,8.3,10376000
2334,3,1,20,1,5.6,11409000
649,1,3,8,3,7.1,6711500
2940,4,3,25,1,8.4,15500000
2526,4,1,9,2,8.3,14411000
3251,3,5,20,3,5.9,16338500
1783,6,4,9,2,7.9,13550500
871,1,4,6,0,9.6,8288500
2472,1,1,24,3,8.5,12252000
3795,4,1,12,3,5.1,17622500
2619,5,4,2,2,8.1,16406500
1698,1,3,13,0,8.5,10093000
3642,1,1,25,1,5.5,14697000
1872,6,3,1,0,6.3,12922000
1884,5,3,20,3,9.3,13314000
2374,6,2,2,1,9.4,15769000
2171,1,2,4,0,7.6,11538500
2420,3,3,5,1,5.1,12860000
3371,3,4,25,0,5.6,15488500
2799,4,2,8,1,8.2,15476500
2111,5,4,2,1,5.8,13508500
3214,1,4,25,3,6.7,14979000
1781,2,1,7,3,9.7,11663500
3980,4,4,25,3,6.4,19040000
3170,4,5,22,3,8.9,17655000
1563,6,3,17,2,9.0,12520500
1592,3,2,6,0,8.2,10652000
821,5,5,21,1,8.7,9503500
1466,4,5,16,1,5.4,10191000
1474,1,2,1,3,7.2,9689000
2549,1,4,7,0,6.0,12671500
3305,6,1,18,2,8.0,17567500
1332,6,2,16,0,8.0,10662000
2573,2,2,13,2,6.3,12875500
3613,6,1,21,2,5.1,17335500
2980,6,4,19,0,7.1,16520000
1416,2,3,3,1,6.6,9546000
1195,3,3,11,1,9.5,10032500
2219,2,1,14,1,8.9,12126500
861,6,2,0,0,6.2,9093500
1677,3,1,20,1,8.3,10189500
1021,3,4,11,3,6.9,9083500
1944,6,1,25,1,9.9,13014000
3369,5,2,21,0,9.7,17721500
3301,2,3,23,0,8.3,15623500
1590,4,5,18,1,5.1,10405000
3960,4,3,20,0,7.4,18720000
879,2,5,21,2,7.9,8086500
3237,3,2,18,3,9.6,16969500
3917,4,1,7,3,5.2,18339500
2603,3,3,6,2,6.2,14090500
1936,5,2,18,1,9.8,13096000
2167,1,3,19,3,6.5,11234500
3582,2,2,8,2,6.9,16897000
672,4,1,11,3,9.4,8462000
1521,5,5,8,0,6.9,11683500
1212,5,4,18,3,7.1,10482000
2827,5,5,15,0,8.9,16704500
1474,1,5,22,3,7.3,9579000
1812,2,5,12,0,6.2,10722000
1925,6,3,6,3,7.9,14097500
3558,6,5,24,2,6.9,18913000
2063,6,3,16,0,8.1,13560500
3851,3,2,25,3,9.7,18808500
2528,3,2,8,3,6.9,13908000
3588,2,3,10,3,9.4,18318000
3129,2,3,12,1,5.5,14651500
1430,6,1,17,1,6.3,10175000
3539,6,3,3,0,6.2,18616500
3823,5,3,5,0,7.2,19410500
3627,3,2,6,3,5.3,17214500
3174,3,4,5,2,8.1,17199000
2916,3,1,21,3,6.9,14316000
1376,6,2,16,0,9.6,11456000
2668,1,5,0,0,8.7,14818000
2567,6,4,7,0,7.0,15634500
956,2,2,18,3,9.7,8526000
3936,4,2,4,1,6.8,19096000
2216,4,4,10,3,8.3,14376000
2980,3,5,19,2,7.6,15920000
3582,1,2,9,2,6.1,16027000
876,2,1,1,0,8.9,7876000
2170,5,4,2,1,6.2,13875000
3420,4,4,15,2,7.1,17660000
3404,3,2,5,0,5.2,15844000
1558,2,5,16,0,8.4,10513000
2110,2,1,2,0,6.1,11025000
2493,6,2,17,0,7.4,14435500
3071,1,3,17,1,5.8,13818500
3222,5,2,5,3,8.0,17927000
2392,4,5,6,3,8.5,15572000
1052,3,5,6,2,7.4,9742000
3559,1,5,13,3,9.2,18086500
3208,1,5,20,2,8.2,15908000
2633,4,5,16,2,5.6,14555500
1807,5,3,13,0,6.9,11834500
1379,1,5,11,0,7.0,9076500
3113,5,3,8,2,9.3,18015500
623,1,3,25,1,6.0,4930500
3813,3,2,11,3,7.8,18615500
3364,5,5,25,2,9.6,18764000
3009,1,1,9,2,8.3,14601500
848,6,2,23,0,6.5,8018000
3249,4,2,24,2,9.8,17091500
2426,3,3,17,3,6.9,13401000
2957,4,5,16,3,5.0,15649500
3176,6,1,0,3,6.7,17696000
1142,5,3,24,2,5.2,8677000
3724,3,5,10,1,8.6,19174000
2245,1,3,17,1,7.0,11407500
2663,5,2,11,3,9.9,16430500
1944,4,1,15,0,9.0,11954000
3036,1,5,13,2,8.0,15576000
3477,2,5,19,3,7.6,17359500
1142,1,5,25,1,8.6,8387000
866,4,4,20,2,8.4,8991000
2774,3,3,15,0,9.4,15119000
1382,4,1,7,0,5.5,8987000
3260,1,5,9,2,6.0,15760000
618,4,3,3,0,7.4,7873000
2000,5,5,19,2,5.1,12490000
1410,6,2,24,2,8.0,10935000
947,2,5,18,3,7.4,8474500
1830,6,5,1,2,9.6,15095000
3937,4,5,0,3,8.2,21159500
1418,2,5,8,0,7.4,10023000
3609,5,5,9,1,9.0,19981500
3092,3,3,23,0,5.3,14192000
2502,6,4,3,3,5.5,15607000
2946,4,4,12,1,9.7,16991000
1958,2,2,7,1,7.8,11423000
3127,6,3,12,1,9.5,18244500
680,4,3,8,2,6.4,7840000
901,3,2,4,1,5.8,7573500
3634,2,5,4,1,8.0,18419000
692,1,2,18,0,6.7,5302000
1664,2,1,1,1,5.1,9314000
1519,1,4,14,3,6.0,9316500
3777,6,1,17,1,8.2,19149500
2630,3,3,13,0,9.4,14715000
920,6,1,19,1,5.8,8090000
1290,5,4,4,1,8.3,11535000
2351,6,3,7,0,5.0,13778500
3156,6,4,25,1,8.0,17396000
3394,5,4,12,3,6.1,18019000
3635,5,4,17,2,9.0,19572500
2969,1,4,24,1,7.7,14171500
2718,1,4,21,2,8.5,13963000
1251,6,1,10,0,7.0,9978500
812,4,4,25,2,5.9,7552000
1119,4,3,23,3,5.6,8506500
2891,6,4,4,2,7.2,17398500
1567,2,5,1,2,5.8,10654500
1187,2,1,4,1,7.7,8534500
2665,5,2,25,2,8.1,14817500
2587,1,4,0,3,5.3,13474500
2943,2,3,5,0,6.2,14430500
3897,1,3,10,0,5.7,16819500
1549,6,2,11,3,9.5,12871500
1944,6,1,0,3,5.0,12704000
859,5,1,8,1,7.6,8646500
3393,5,1,2,1,7.7,17855500
3395,5,5,18,1,7.9,18342500
2888,5,5,13,3,7.0,16858000
2349,1,3,20,2,6.4,11581500
3918,1,5,7,2,5.1,17803000
3683,2,3,5,0,5.1,16580500
2370,1,2,0,1,9.0,13195000
3500,3,3,13,0,7.4,16960000
3259,3,5,17,2,7.5,16956500
3564,2,5,6,2,9.4,18834000
1812,3,1,14,2,7.2,10722000
751,5,3,11,2,9.1,9518500
3696,5,4,6,3,6.1,19376000
3350,1,1,8,0,9.0,15725000
3907,2,4,10,3,9.0,19574500
3996,1,5,18,3,9.5,19486000
2198,4,2,16,1,7.4,12653000
721,4,4,24,0,5.7,6803500
1327,6,3,11,2,5.0,10394500
2751,1,1,21,0,7.1,12218500
3912,4,1,21,0,5.9,17302000
2928,2,3,21,2,9.8,15418000
2310,2,1,13,2,8.2,12415000
3280,3,1,6,2,7.6,16420000
2860,1,5,7,0,7.1,14500000
3988,3,4,16,3,6.3,18978000
886,3,1,5,0,8.4,8011000
3888,2,2,6,1,8.9,18668000
1392,6,3,6,0,7.4,11432000
601,3,5,17,2,6.6,7293500
1408,2,4,6,3,5.3,9548000
1702,5,1,20,0,9.0,11357000
814,2,2,4,1,6.8,7169000
2073,5,2,19,2,6.9,12565500
3984,1,4,16,1,5.4,17204000
2491,4,3,6,1,9.3,15238500
3563,6,2,24,0,5.9,17230500
1070,3,1,11,1,6.5,7795000
1180,1,4,9,3,6.8,8700000
1150,6,3,16,1,7.3,10245000
1753,6,1,9,1,5.2,11265500
837,6,2,23,0,6.8,8099500
3311,2,5,6,3,7.3,17308500
3259,1,3,17,1,9.1,15796500
2272,4,4,6,3,9.6,15292000
3218,6,5,14,1,7.3,18183000
2454,1,5,24,0,6.4,11949000
3408,1,4,21,0,6.4,15138000
984,6,2,25,2,10.0,10194000
1463,3,4,9,1,5.6,9810500
3457,5,5,3,0,7.3,18869500
1937,3,2,13,0,6.9,10989500
3486,3,3,4,2,8.3,18121000
3534,5,5,11,3,6.2,18899000
3470,5,1,18,2,7.9,17605000
1170,5,4,3,2,8.9,11605000
1989,6,2,0,0,7.0,13361500
2612,3,5,24,1,9.2,14822000
808,1,2,3,1,5.5,6178000
3274,4,4,22,2,8.0,17159000
2100,1,5,15,3,9.4,12960000
2941,4,4,14,2,5.5,15393500
2943,1,2,16,3,9.1,14840500
1241,3,4,21,2,7.7,9473500
3817,3,4,25,1,6.9,17769500
3071,5,4,5,1,7.8,17518500
3780,3,1,13,1,7.1,17420000
3959,1,5,2,3,8.2,19636500
2398,2,1,13,2,8.6,12883000
1673,3,3,8,2,9.8,12175500
3291,1,5,14,0,9.5,16618500
2637,4,2,2,1,5.0,13929500
1514,6,1,12,2,9.8,12319000
3336,2,2,8,3,7.3,16396000
1457,2,1,10,0,9.6,9739500
3772,5,2,23,1,7.8,18472000
650,6,3,18,0,5.4,7435000
3977,5,3,22,0,9.2,19899500
3957,6,4,15,3,7.7,20979500
3408,2,1,18,3,9.1,16568000
1453,4,1,0,3,6.5,10585500
3242,4,5,0,2,5.2,17327000
1524,6,4,20,1,5.3,10854000
1991,1,4,23,3,6.5,10718500
2376,4,1,25,1,9.2,13246000
1711,1,5,9,2,8.2,11218500
1798,3,2,5,1,5.8,10663000
1285,1,5,16,1,5.8,8217500
3355,2,5,18,3,7.4,16902500
2023,5,1,0,3,7.3,13400500
1174,4,4,13,3,8.4,10619000
3225,4,1,0,3,6.8,16907500
3546,6,2,0,3,7.6,19651000
3582,6,5,1,3,7.9,20747000
1430,6,1,18,3,7.9,11165000
3514,6,5,5,0,6.6,19189000
3783,3,2,20,0,7.4,17300500
3584,6,5,17,3,8.9,20354000
923,2,3,7,3,5.5,7580500
2346,6,1,17,0,9.4,14421000
939,5,4,22,2,9.6,10126500
3024,5,2,22,3,6.1,15624000
2066,5,3,22,2,9.9,13891000
1503,3,2,20,0,7.3,9280500
2775,1,1,16,2,9.5,13912500
1386,3,2,17,0,9.6,9941000
1433,5,3,12,2,8.4,11575500
2610,3,2,11,2,8.4,14445000
3257,3,2,0,2,7.8,17019500
3542,6,3,16,0,6.3,18017000
1842,6,1,17,2,8.8,12817000
2402,1,4,11,2,6.1,12397000
3761,5,2,17,0,8.7,18893500
2448,1,3,15,2,7.4,12578000
3468,3,1,10,1,8.7,17118000
1560,6,1,17,0,7.7,10990000
3498,4,4,2,0,5.7,17623000
2515,1,5,18,0,5.5,12102500
1933,1,5,2,3,8.3,12585500
3973,5,5,24,0,5.1,18745500
3511,2,5,14,2,8.6,17928500
3484,2,2,21,2,8.4,16504000
3911,6,5,10,2,7.9,21248500
3196,1,4,20,2,7.1,15126000
3185,4,1,4,1,6.5,16047500
1733,4,3,5,1,6.0,11315500
2393,5,1,0,1,8.0,14575500
3739,1,1,15,3,8.0,16936500
1785,3,5,5,3,9.1,13237500
813,3,1,14,2,5.4,6505500
2647,5,3,10,1,10.0,16364500
3367,4,3,15,0,6.0,16334500
3203,2,1,2,2,5.3,14930500
3730,1,2,4,1,9.2,17835000
610,1,5,13,0,7.8,6605000
3774,4,3,20,0,10.0,19109000
2043,6,1,19,3,8.7,13580500
3430,1,4,6,3,9.4,17765000
1974,6,2,8,3,7.6,13749000
790,4,4,22,3,8.3,8785000
2779,2,3,6,0,9.4,15086500
2954,2,1,13,2,9.8,15309000
2292,4,5,5,2,6.7,14352000
1466,5,1,7,0,8.2,10861000
1471,2,2,11,1,9.7,10278500
3676,2,2,4,2,7.3,17586000
1268,3,4,23,1,6.4,8748000
3105,6,4,6,1,5.8,17287500
3011,1,5,25,0,6.6,13928500
2014,6,4,8,2,7.6,14289000
3165,3,4,22,2,9.6,16917500
2392,5,5,12,3,8.5,15772000
2840,6,3,0,1,6.3,16560000
3521,2,2,19,1,7.5,16173500
3536,2,2,12,0,8.7,16856000
1015,4,2,8,3,9.8,10272500
1258,1,3,25,3,9.6,8993000
3012,3,5,15,3,7.0,16192000
847,6,5,3,3,6.9,10674500
3243,1,5,8,3,7.4,16510500
1619,3,2,1,0,9.3,11436500
2205,5,4,19,2,6.1,13307500
2545,1,5,21,2,7.1,13097500
2687,4,3,14,0,6.6,14244500
2273,6,3,18,0,9.5,14755500
1708,1,4,5,0,7.2,10308000
3309,6,1,0,3,7.4,18441500
2386,1,2,11,3,9.9,13461000
2616,3,4,21,1,8.7,14486000
1964,3,5,23,2,9.0,12724000
1068,6,3,1,1,5.2,9868000
862,4,1,3,0,5.7,7447000
2148,1,4,17,1,8.0,11768000
1532,1,3,16,3,8.9,10122000
2451,6,4,21,2,5.5,14328500
1576,2,1,19,1,8.2,9346000
1892,6,2,16,2,5.5,12022000
3296,1,1,18,3,7.4,14996000
3912,3,4,0,3,5.8,19312000
1578,2,3,24,1,6.5,9023000
3765,5,5,6,0,7.7,19957500
3959,2,2,22,3,9.6,18796500
1029,5,2,19,2,5.2,8231500
3602,2,3,11,2,9.1,17997000
2509,2,2,1,1,7.6,13571500
1159,4,5,5,0,9.5,11106500
1526,1,4,1,3,8.5,10991000
3201,6,1,18,3,5.6,16443500
3972,1,3,14,2,6.4,17562000
3358,4,4,21,3,7.7,17583000
3187,5,1,0,3,8.6,17994500
618,5,1,20,2,8.7,7843000
1818,5,2,1,0,5.9,11773000
2263,6,1,1,3,6.6,14410500
1638,4,3,11,2,5.2,10563000
2584,6,3,18,3,5.2,14724000
656,3,4,1,0,8.5,8346000
3679,1,3,10,1,6.4,16536500
2693,6,3,12,3,6.8,16045500
865,4,1,1,1,8.2,8757500
3374,4,3,7,2,7.6,17799000
3339,5,4,0,3,5.7,18266500
1193,4,5,10,0,6.5,9775500
1360,5,4,14,0,7.9,10920000
3808,1,1,9,0,8.8,17198000
2062,2,5,15,1,9.9,13127000
883,4,2,18,0,9.7,8670500
2450,3,4,6,2,7.0,14175000
3539,2,4,2,0,8.3,17806500
653,2,2,4,0,7.5,6685500
3681,2,5,11,3,8.4,18793500
2651,2,5,17,1,8.4,14488500
3033,5,3,4,0,9.9,17775500
3182,3,5,4,2,7.9,17497000
688,2,2,11,2,7.7,6938000
1657,2,5,22,3,5.2,9879500
2576,1,2,10,2,5.8,12336000
3666,3,4,7,0,5.7,17461000
3456,4,3,1,2,5.3,17466000
3179,2,4,12,1,6.4,15486500
1342,4,2,8,0,6.4,9457000
2753,6,4,5,2,7.7,17065500
3262,4,4,2,0,6.9,17277000
1999,2,2,10,1,6.0,10696500
3961,2,2,19,0,5.9,16873500
1232,5,4,14,3,5.1,9952000
1894,3,3,18,0,8.6,11569000
1990,1,3,1,3,8.2,12195000
1239,5,2,17,0,7.7,9666500
1511,3,5,12,0,9.3,11408500
1851,4,4,0,2,6.7,12758500
3763,4,5,15,2,9.6,20160500
1902,6,4,12,2,7.8,13777000
1442,5,1,11,3,6.2,10377000
2025,2,2,21,2,9.4,11797500
1697,1,3,2,2,8.9,11199500
3618,3,4,9,2,6.3,17833000
3157,6,1,0,1,5.9,16909500
2299,1,5,1,2,9.1,14036500
3845,2,1,18,2,8.3,17577500
3817,4,4,21,3,6.3,18629500
3760,5,2,3,1,8.2,19590000
2020,4,5,22,3,9.1,13710000
2207,1,4,8,3,8.8,13144500
1780,3,1,20,2,8.4,10790000
1840,6,1,4,3,7.9,13300000
3015,5,5,3,0,5.7,16682500
1054,1,3,3,3,6.2,8019000
3719,6,2,24,2,6.8,18536500
2143,5,4,24,0,5.9,12360500
2099,2,4,19,1,9.6,12636500
1848,4,2,1,1,7.4,12178000
3761,6,3,14,2,9.7,20643500
2543,4,1,1,0,5.4,13310500
2245,2,4,14,0,9.1,12997500
3033,6,3,14,3,9.1,18055500
1542,5,4,8,2,6.6,11737000
2911,5,1,5,3,6.6,15978500
978,6,5,9,0,8.4,10833000
2856,6,4,17,3,9.5,17746000
1272,1,5,14,0,6.8,8472000
2336,5,5,11,3,7.7,15306000
3316,5,1,8,3,9.0,18206000
3225,2,2,13,2,8.4,15997500
837,1,1,12,3,7.9,6889500
2175,2,4,21,3,7.9,12522500
3781,4,3,0,2,6.4,19093500
839,3,3,22,1,6.9,7196500
1165,5,3,24,3,8.6,10317500
3906,1,4,12,3,8.2,18651000
2678,5,3,9,1,7.2,15403000
3329,4,2,11,0,5.3,15821500
2301,6,2,20,2,8.1,14293500
1405,3,1,23,1,7.7,8847500
3868,6,3,7,0,5.7,19368000
3206,2,5,22,3,7.5,16221000
676,1,3,14,3,5.6,5906000
2024,3,2,6,2,7.5,12284000
3971,2,4,10,0,6.5,18198500
2817,5,4,5,2,8.7,17189500
634,4,4,1,0,9.2,9049000
2716,1,3,19,2,8.1,13596000
1642,1,1,16,1,8.6,9387000
3779,4,5,20,1,9.8,19846500
3578,4,5,20,0,6.3,17543000
1296,2,4,1,3,7.2,10166000
1169,1,4,19,3,7.7,8521500
849,3,4,21,2,5.8,7341500
3381,3,2,8,3,5.3,16253500
1247,5,4,5,0,5.5,10014500
1743,1,5,12,0,8.4,10860500
2073,2,2,6,3,9.2,12835500
1731,1,3,23,2,8.9,10268500
2575,2,3,0,0,6.7,13592500
2678,6,5,0,0,9.2,17553000
1719,1,2,18,0,7.6,9256500
2370,4,4,24,2,6.7,13375000
2486,4,4,17,3,9.1,15291000
1095,4,1,24,0,7.9,8092500
3942,4,3,24,0,7.3,18417000
3949,2,5,12,2,5.5,18321500
3023,4,5,5,3,8.7,17910500
2439,5,2,22,3,6.2,13616500
